province,year,epi_week,cases,temp_mean_c_synthetic,precip_mm_synthetic,risk_level_rule_based
Azuay,2025,1,8,18.5,49.9,bajo
Azuay,2025,2,8,17.6,50.3,bajo
Azuay,2025,3,11,18.1,108.5,bajo
Azuay,2025,4,16,17.7,95.3,bajo
Azuay,2025,5,17,18.1,131.2,bajo
Azuay,2025,6,15,20.9,137.1,bajo
Azuay,2025,7,16,19.8,133.5,bajo
Azuay,2025,8,28,20.5,141.3,medio
Azuay,2025,9,28,20.7,131,medio
Azuay,2025,10,37,17.9,123.6,medio
Azuay,2025,11,29,17.9,139.6,medio
Azuay,2025,12,51,18.3,149.9,alto
Azuay,2025,13,43,20.9,125.4,medio
Azuay,2025,14,38,19.2,136.8,medio
Azuay,2025,15,52,18.9,154.9,alto
Azuay,2025,16,66,17.7,150.7,alto
Azuay,2025,17,62,17.4,145,alto
Azuay,2025,18,54,19.4,108.7,alto
Azuay,2025,19,54,17.6,112.8,alto
Azuay,2025,20,45,17.5,128.1,medio
Azuay,2025,21,19,17.8,125.7,bajo
Azuay,2025,22,23,14.3,76.6,medio
Azuay,2025,23,17,17.5,101.6,bajo
Azuay,2025,24,15,17.1,71.9,bajo
Bolivar,2025,1,3,20.5,59.8,bajo
Bolivar,2025,2,4,17.2,54.3,bajo
Bolivar,2025,3,5,19.7,78.9,bajo
Bolivar,2025,4,6,17.8,104.3,bajo
Bolivar,2025,5,8,17.2,101,bajo
Bolivar,2025,6,9,19.4,139.9,bajo
Bolivar,2025,7,11,18.1,141.6,bajo
Bolivar,2025,8,9,19.1,126.8,bajo
Bolivar,2025,9,12,19.9,116.3,bajo
Bolivar,2025,10,11,18.3,130.7,bajo
Bolivar,2025,11,16,19.9,140.9,bajo
Bolivar,2025,12,15,18.4,167.6,bajo
Bolivar,2025,13,18,19.4,131.6,bajo
Bolivar,2025,14,21,20.7,153.8,medio
Bolivar,2025,15,17,19.8,154.9,bajo
Bolivar,2025,16,22,18.5,156,medio
Bolivar,2025,17,19,18.4,127.7,bajo
Bolivar,2025,18,12,17.1,141.1,bajo
Bolivar,2025,19,16,20.4,117.1,bajo
Bolivar,2025,20,14,17.9,126.6,bajo
Bolivar,2025,21,7,16.3,90.6,bajo
Bolivar,2025,22,7,15.3,80,bajo
Bolivar,2025,23,7,17.5,65.9,bajo
Bolivar,2025,24,7,16.5,69.1,bajo
Carchi,2025,1,3,17.3,60.7,bajo
Carchi,2025,2,5,19.9,97.5,bajo
Carchi,2025,3,4,19.5,69.9,bajo
Carchi,2025,4,6,17.8,98.7,bajo
Carchi,2025,5,8,20.3,104.4,bajo
Carchi,2025,6,6,20.9,107.8,bajo
Carchi,2025,7,7,17.1,129.6,bajo
Carchi,2025,8,12,18.6,140.4,bajo
Carchi,2025,9,8,19.1,161,bajo
Carchi,2025,10,15,20.3,162.2,bajo
Carchi,2025,11,10,19.8,164.6,bajo
Carchi,2025,12,18,19.3,139.2,bajo
Carchi,2025,13,17,20.5,156.6,bajo
Carchi,2025,14,20,20.9,137.7,medio
Carchi,2025,15,21,18.4,153.4,medio
Carchi,2025,16,14,18.5,124.5,bajo
Carchi,2025,17,14,19,121.9,bajo
Carchi,2025,18,15,17.4,116.4,bajo
Carchi,2025,19,21,19.5,129.2,medio
Carchi,2025,20,16,18.9,130.9,bajo
Carchi,2025,21,8,14.4,92.8,bajo
Carchi,2025,22,7,17.4,85.6,bajo
Carchi,2025,23,6,14.8,80.4,bajo
Carchi,2025,24,8,16.2,98.1,bajo
Cañar,2025,1,6,17.8,75.2,bajo
Cañar,2025,2,7,18.9,71.2,bajo
Cañar,2025,3,11,19.7,86.2,bajo
Cañar,2025,4,16,17.8,90.9,bajo
Cañar,2025,5,16,18.9,105.9,bajo
Cañar,2025,6,23,20.6,101.9,medio
Cañar,2025,7,21,20.6,149.6,medio
Cañar,2025,8,26,20.7,119.7,medio
Cañar,2025,9,33,18.4,132.9,medio
Cañar,2025,10,30,19.4,160,medio
Cañar,2025,11,25,17.5,171.7,medio
Cañar,2025,12,49,18.1,138.8,medio
Cañar,2025,13,41,19.1,132.2,medio
Cañar,2025,14,61,18.1,172.5,alto
Cañar,2025,15,38,20.8,130.8,medio
Cañar,2025,16,41,20.8,127.8,medio
Cañar,2025,17,54,19.7,134.5,alto
Cañar,2025,18,59,19.4,121.6,alto
Cañar,2025,19,39,17.3,110.3,medio
Cañar,2025,20,37,19.3,121.3,medio
Cañar,2025,21,16,15.9,125.7,bajo
Cañar,2025,22,21,14.8,94.5,medio
Cañar,2025,23,13,14.7,98.5,bajo
Cañar,2025,24,19,17.3,58.9,bajo
Chimborazo,2025,1,3,19.3,68.5,bajo
Chimborazo,2025,2,4,20.9,78.1,bajo
Chimborazo,2025,3,6,18.6,79,bajo
Chimborazo,2025,4,7,18.1,91.7,bajo
Chimborazo,2025,5,5,21,86.9,bajo
Chimborazo,2025,6,9,21,135.3,bajo
Chimborazo,2025,7,9,19.8,107.7,bajo
Chimborazo,2025,8,10,19,124.7,bajo
Chimborazo,2025,9,10,20.3,157.1,bajo
Chimborazo,2025,10,12,17.4,125.5,bajo
Chimborazo,2025,11,11,19.9,150.8,bajo
Chimborazo,2025,12,11,17.5,153.8,bajo
Chimborazo,2025,13,14,19.9,155.1,bajo
Chimborazo,2025,14,16,20.7,125.8,bajo
Chimborazo,2025,15,21,17.6,136.5,medio
Chimborazo,2025,16,12,20.3,158.2,bajo
Chimborazo,2025,17,15,18.5,161.7,bajo
Chimborazo,2025,18,13,17.7,118.1,bajo
Chimborazo,2025,19,21,19.7,148.1,medio
Chimborazo,2025,20,12,18.1,122.7,bajo
